subject	glasses	component	bin	distance	offset
p2	invisible	vertical	9	0.224179651	-1.092634558
p2	invisible	vertical	10	0.243631708	-0.800179043
p2	invisible	vertical	11	0.273276093	-0.652235473
p2	invisible	vertical	12	0.311117999	-0.401838823
p2	invisible	vertical	13	0.390934559	-0.571325793
p2	invisible	vertical	14	0.540659306	-0.395242293
p2	invisible	vertical	15	0.786667758	-0.628821148
p2	invisible	vertical	16	1.072970455	-0.407891183
p2	invisible	vertical	17	1.507218115	-0.301135908
p2	invisible	vertical	18	2.170483208	-0.266955253
p2	invisible	vertical	19	3.339315773	0.039353907
p2	invisible	vertical	20	5.416670441	0.209478022
p2	neon	horizontal	1	0.17082875	0.515794821
p2	neon	horizontal	2	0.172167264	0.772589191
p2	neon	horizontal	3	0.172951927	1.054626611
p2	neon	horizontal	4	0.17335921	0.397942261
p2	neon	horizontal	5	0.173913076	0.693646451
p2	neon	horizontal	6	0.175728853	0.532093716
p2	neon	horizontal	7	0.177909735	0.660879426
p2	neon	horizontal	8	0.1824513	0.775505291
p2	neon	horizontal	9	0.188509704	0.198909901
p2	neon	horizontal	10	0.196946862	0.688815261
p2	neon	horizontal	11	0.204559465	0.427629106
p2	neon	horizontal	12	0.218802805	0.522497871
p2	neon	horizontal	13	0.243754549	0.320013211
p2	neon	horizontal	14	0.283848051	0.358178706
p2	neon	horizontal	15	0.364887198	0.142770481
p2	neon	horizontal	16	0.526656856	0.114636631
p2	neon	horizontal	17	0.792228632	0.140435861
p2	neon	horizontal	18	1.143506666	-0.039184069
p2	neon	horizontal	19	1.787682739	-0.136078099
p2	neon	horizontal	20	3.057604991	-0.144650259
p2	neon	vertical	1	0.17082875	-3.154546996
p2	neon	vertical	2	0.172167264	-2.964445861
p2	neon	vertical	3	0.172951927	-2.943741671
p2	neon	vertical	4	0.17335921	-3.515098191
p2	neon	vertical	5	0.173913076	-3.047874066
p2	neon	vertical	6	0.175728853	-2.950758956
p2	neon	vertical	7	0.177909735	-2.796126456
p2	neon	vertical	8	0.1824513	-2.565672261
p2	neon	vertical	9	0.188509704	-2.523805501
p2	neon	vertical	10	0.196946862	-2.573283121
p2	neon	vertical	11	0.204559465	-1.987416616
p2	neon	vertical	12	0.218802805	-2.030157921
p2	neon	vertical	13	0.243754549	-1.745331826
p2	neon	vertical	14	0.283848051	-1.220619986
p2	neon	vertical	15	0.364887198	-1.002073381
p2	neon	vertical	16	0.526656856	-0.747974511
p2	neon	vertical	17	0.792228632	-0.293036221
p2	neon	vertical	18	1.143506666	0.097349269
p2	neon	vertical	19	1.787682739	0.317654029
p2	neon	vertical	20	3.057604991	0.665869539
p2	smi	horizontal	1	0.187391266	-0.036397858
p2	smi	horizontal	2	0.189003332	0.338231852
p2	smi	horizontal	3	0.19065974	0.310270947
p2	smi	horizontal	4	0.195250047	-0.123858458
p2	smi	horizontal	5	0.198684211	-0.081457353
p2	smi	horizontal	6	0.202423905	0.251311967
p2	smi	horizontal	7	0.206749933	0.164720677
p2	smi	horizontal	8	0.215276472	0.243841582
p2	smi	horizontal	9	0.223276276	0.154344517
p2	smi	horizontal	10	0.240990582	0.143696947
p2	smi	horizontal	11	0.263688344	0.054083672
p2	smi	horizontal	12	0.315736771	0.158921427
p2	smi	horizontal	13	0.398118196	0.148682257
p2	smi	horizontal	14	0.541038166	0.065749347
p2	smi	horizontal	15	0.765914673	-0.003874023
p2	smi	horizontal	16	1.028128489	0.033890507
p2	smi	horizontal	17	1.449399856	0.010493337
p2	smi	horizontal	18	2.134304278	-0.058321493
p2	smi	horizontal	19	3.288432226	-0.017506173
