subject	glasses	distance	target	median_acc_x	median_acc_y
p5	invisible	200	4	-1.573516	2.126143
p5	invisible	200	5	-2.08212	0.990637
p5	neon	30	1	-1.180655	-0.450627
p5	neon	30	2	0.149223	0.420389
p5	neon	30	3	-2.185494	0.019195
p5	neon	30	4	-1.400749	-0.320052
p5	neon	30	5	-1.163137	0.530415
p5	neon	200	1	-1.243268	0.855829
p5	neon	200	2	-0.699324	1.842268
p5	neon	200	3	-1.694237	2.951582
p5	neon	200	4	-1.755589	1.415915
p5	neon	200	5	-1.078277	1.896612
p5	smi	30	1	0.119904	-5.14015
p5	smi	30	2	0.69804	-5.060207
p5	smi	30	3	-0.477387	-5.068005
p5	smi	30	4	0.136404	-5.103207
p5	smi	30	5	0.065344	-5.199413
p5	smi	200	1	-0.235997	-2.512658
p5	smi	200	2	-0.227536	-2.713711
p5	smi	200	3	-0.249871	-2.453371
p5	smi	200	4	-0.143666	-2.139799
p5	smi	200	5	-0.270714	-3.228862
p5	g2	30	1	0.109243	2.057867
p5	g2	30	2	0.025943	1.438904
p5	g2	30	3	1.068093	1.869992
p5	g2	30	4	0.859085	0.669337
p5	g2	30	5	-0.290116	0.590249
p5	g2	200	1	0.303423	2.590566
p5	g2	200	2	0.82069	2.412603
p5	g2	200	3	0.007518	1.93045
p5	g2	200	4	0.629009	1.196814
p5	g2	200	5	0.612371	2.202363
p5	g3	30	1	-0.432333	-0.711961
p5	g3	30	2	0.093485	-0.973496
p5	g3	30	3	-0.380909	-0.886623
p5	g3	30	4	-0.328651	-0.937492
p5	g3	30	5	-0.256711	-1.096986
p5	g3	200	1	-0.279774	1.017078
p5	g3	200	2	0.091691	0.749229
p5	g3	200	3	-0.617404	1.053728
p5	g3	200	4	-0.226863	0.919301
p5	g3	200	5	-0.330846	1.375031
p5	vps	30	1	-8.313959	2.785402
p5	vps	30	2	-15.077463	2.968325
p5	vps	30	3	-4.081471	2.172336
p5	vps	30	4	-7.851382	4.678148
p5	vps	30	5	-8.137371	3.53396
